id,SalePrice
1461,120129.31638285189
1462,153008.78931274876
1463,181999.67177216802
1464,195952.28499780234
1465,197477.81258720372
1466,171222.8437366314
1467,178212.01779580885
1468,161123.61215957563
1469,193898.47881496925
1470,119925.56963355571
1471,189952.67457183255
1472,97385.92416901977
1473,96173.51867350194
1474,146413.76269308914
1475,113408.51351352438
1476,363558.8419400456
1477,250762.12819425605
1478,294599.1815289544
1479,299293.44565708295
1480,474977.58803628816
1481,325368.5976020464
1482,210850.56526419742
1483,177057.72071004286
1484,162710.8451215373
1485,191473.76554705744
1486,193107.90708996542
1487,339866.0295461026
1488,238341.3353204839
1489,193749.616017526
1490,231349.06204074822
1491,195044.0195028988
1492,92756.67611514177
1493,189749.58843921273
1494,299951.3792833907
1495,293285.5911212206
1496,235702.0951615435
1497,179388.3250826092
1498,167787.27829460712
1499,162374.42494971008
1500,152697.77495439636
1501,174507.69277533883
1502,145503.650621222
1503,290290.22303373506
1504,242519.0337992151
1505,225593.9126779172
1506,188193.2251987882
1507,245834.55147804398
1508,202873.92776776507
1509,163898.0977788804
1510,143480.39546743763
1511,148092.6730057099
1512,175334.36311484524
1513,152363.35065623088
1514,155109.81990672962
1515,197374.40600365453
1516,157898.1108176086
1517,168347.74792537428
1518,132466.49684443185
1519,209170.43080419523
1520,127540.30850578872
1521,130083.47515553552
1522,178496.1397739455
1523,110130.48034133491
1524,125686.44701638781
1525,120266.19747097132
1526,113488.37444080893
1527,107566.14520398279
1528,137378.38934699498
1529,149722.5649900274
1530,184338.3627019251
1531,105988.75185360062
1532,98505.57943429326
1533,142816.38267748768
1534,127215.27170736801
1535,147673.90202250797
1536,106379.11563719086
1537,64977.58596862501
1538,147236.97205496268
1539,191933.55837510555
1540,94263.45850341642
1541,138707.1051419694
1542,139649.2498648731
1543,189700.53751999213
1544,85068.0084813381
1545,115257.94054333334
1546,135137.91282301565
1547,127884.20576731049
1548,138708.24355731055
1549,119838.49286651284
1550,135618.0232182609
1551,108884.99981547259
1552,136390.98109602102
1553,148289.80774366978
1554,116891.82272110388
1555,160376.90131114167
1556,85485.21858199107
1557,105780.75331708373
1558,97580.47664747859
1559,63552.76802692346
1560,134335.23100407352
1561,129372.72588983385
1562,130057.34828423729
1563,117918.55506134832
1564,155071.55198099834
1565,150955.34079507223
1566,237772.46824719856
1567,76404.0750295784
1568,230818.44131562498
1569,127780.26853477267
1570,139167.54640386638
1571,123248.06659908082
1572,142090.06900251668
1573,236848.63859264113
1574,118411.1605684901
1575,228294.7333937121
1576,241692.83937702083
1577,182201.759648107
1578,148720.33335049916
1579,144283.6746041202
1580,196843.86942393094
1581,153037.51734319574
1582,125687.59815299758
1583,295888.95713129675
1584,216154.0872743593
1585,136126.5245419615
1586,67143.7331393885
1587,104989.71874882655
1588,151179.16829745128
1589,96656.21648976799
1590,133891.40280903337
1591,92120.84101367695
1592,114189.92031279985
1593,127669.24235410152
1594,123646.9654616617
1595,107500.49085079701
1596,222575.4363111559
1597,193546.939659149
1598,227982.64081666252
1599,172656.03043455456
1600,162810.3634734947
1601,68670.55669450274
1602,117135.40853671772
1603,71358.13909721214
1604,260213.98917750406
1605,243774.2319576857
1606,168701.8701135877
1607,173316.5115734691
1608,214614.0413639866
1609,185339.24789518543
1610,150446.69880184537
1611,138184.72480648317
1612,170111.59149848716
1613,161412.03068661544
1614,128011.21692279437
1615,93618.2307570484
1616,77864.50013347293
1617,95346.82046651705
1618,124769.0814331626
1619,140093.27093942062
1620,152267.55072114116
1621,138619.24058028372
1622,141655.71194439256
1623,261268.10001323398
1624,209360.63951990465
1625,120859.60722550031
1626,170452.59591000894
1627,190582.2089344493
1628,280021.0948513829
1629,184313.13785743632
1630,345037.48366736737
1631,230402.01030487745
